x,group,y
9.6,Healthy,-13.55981557
9.6,Healthy,10.69124555
9.6,Healthy,12.8074207
9.6,Healthy,-16.23570219
9.6,Healthy,-27.31563604
9.6,Healthy,-28.00329877
9.6,Healthy,-12.23010327
9.6,Healthy,-14.00550253
9.6,Healthy,-32.8322099
9.6,Healthy,95.88026521
9.6,Gingivitis,-18.81606212
9.6,Gingivitis,79.65667961
9.6,Gingivitis,50.17708197
9.6,Gingivitis,19.21320458
9.6,Gingivitis,7.563948873
9.6,Gingivitis,50.42688082
9.6,Gingivitis,5.340532035
9.6,Gingivitis,6.858829146
9.6,Gingivitis,29.5257894
9.6,Gingivitis,14.47404365
9.6,Mucositis,1.420928025
9.6,Mucositis,-27.91945177
9.6,Mucositis,-39.13820115
9.6,Mucositis,57.67486215
9.6,Mucositis,86.17739901
9.6,Mucositis,-14.4794464
9.6,Mucositis,6.559147585
9.6,Mucositis,63.79185919
9.6,Mucositis,63.14631598
9.6,Mucositis,-12.52888232
9.6,Mucositis,33.78640769
9.6,Mucositis,-14.52419503
9.6,Mucositis,47.64124681
9.6,Mucositis,3.118934606
9.6,Mucositis,-4.15932548
9.6,Periimplantitis,-14.55494966
9.6,Periimplantitis,-31.48580213
9.6,Periimplantitis,-1.584156289
9.6,Periimplantitis,0.753069396
9.6,Periimplantitis,-13.22830129
9.6,Periimplantitis,0.233193078
9.6,Periimplantitis,51.33952641
9.6,Periimplantitis,0.947858056
9.6,Periimplantitis,-4.96681773
9.6,Periimplantitis,-2.237393977
9.6,Periimplantitis,-4.994360857
9.6,Periimplantitis,51.15115964
9.6,Periimplantitis,-30.13573505
9.6,Periimplantitis,-12.66913637
9.7,Healthy,44.16444615
9.7,Healthy,2.086344488
9.7,Healthy,27.49176383
9.7,Healthy,-13.69311611
9.7,Healthy,-20.80587048
9.7,Healthy,-24.79663214
9.7,Healthy,-6.442239684
9.7,Healthy,-11.10674415
9.7,Healthy,-27.25473687
9.7,Healthy,91.80097637
9.7,Gingivitis,-12.93650625
9.7,Gingivitis,61.09405751
9.7,Gingivitis,38.74429506
9.7,Gingivitis,25.55203244
9.7,Gingivitis,11.23795377
9.7,Gingivitis,62.69074643
9.7,Gingivitis,11.9601654
9.7,Gingivitis,10.26421799
9.7,Gingivitis,38.7784931
9.7,Gingivitis,21.15219805
9.7,Mucositis,-5.774034693
9.7,Mucositis,-28.65196641
9.7,Mucositis,-40.3659896
9.7,Mucositis,35.87993547
9.7,Mucositis,67.83950394
9.7,Mucositis,-11.12602008
9.7,Mucositis,17.03089389
9.7,Mucositis,46.69454009
9.7,Mucositis,57.99606201
9.7,Mucositis,-14.49522309
9.7,Mucositis,19.4904756
9.7,Mucositis,-12.63873031
9.7,Mucositis,19.37129383
9.7,Mucositis,1.595918781
9.7,Mucositis,-11.6130103
9.7,Periimplantitis,-22.95678599
9.7,Periimplantitis,-30.1035209
9.7,Periimplantitis,-0.577558769
9.7,Periimplantitis,-6.900879244
9.7,Periimplantitis,-9.889094433
9.7,Periimplantitis,7.922264027
9.7,Periimplantitis,35.34994434
9.7,Periimplantitis,3.114473511
9.7,Periimplantitis,0.383594985
9.7,Periimplantitis,-7.305630855
9.7,Periimplantitis,-1.033291367
9.7,Periimplantitis,38.90666302
9.7,Periimplantitis,-28.60603652
9.7,Periimplantitis,-6.872095074
9.8,Healthy,115.7130126
9.8,Healthy,1.671737665
9.8,Healthy,44.07356263
9.8,Healthy,-8.124975235
9.8,Healthy,-13.57511274
9.8,Healthy,-17.47956704
9.8,Healthy,-1.473615604
9.8,Healthy,-7.165839601
9.8,Healthy,-19.94107185
9.8,Healthy,80.98657501
9.8,Gingivitis,-4.855091515
9.8,Gingivitis,49.49694043
9.8,Gingivitis,26.31086214
9.8,Gingivitis,30.23821009
9.8,Gingivitis,14.10189106
9.8,Gingivitis,74.50367392
9.8,Gingivitis,16.74660248
9.8,Gingivitis,13.80209222
9.8,Gingivitis,47.39029296
9.8,Gingivitis,34.13469946
9.8,Mucositis,-9.301153418
9.8,Mucositis,-26.91557836
9.8,Mucositis,-39.56943709
9.8,Mucositis,19.67221092
9.8,Mucositis,48.74372705
9.8,Mucositis,-8.077330812
9.8,Mucositis,27.99068964
9.8,Mucositis,33.47404545
9.8,Mucositis,51.18045691
9.8,Mucositis,-15.01340207
9.8,Mucositis,9.930961606
9.8,Mucositis,-11.0239523
9.8,Mucositis,3.710783636
