x,Healthy,Gingivitis
9.6,-13.55981557,-18.81606212
9.6,10.69124555,79.65667961
9.6,12.8074207,50.17708197
9.6,-16.23570219,19.21320458
9.6,-27.31563604,7.563948873
9.6,-28.00329877,50.42688082
9.6,-12.23010327,5.340532035
9.6,-14.00550253,6.858829146
9.6,-32.8322099,29.5257894
9.6,95.88026521,14.47404365
9.7,44.16444615,-12.93650625
9.7,2.086344488,61.09405751
9.7,27.49176383,38.74429506
9.7,-13.69311611,25.55203244
9.7,-20.80587048,11.23795377
9.7,-24.79663214,62.69074643
9.7,-6.442239684,11.9601654
9.7,-11.10674415,10.26421799
9.7,-27.25473687,38.7784931
9.7,91.80097637,21.15219805
9.8,115.7130126,-4.855091515
9.8,1.671737665,49.49694043
9.8,44.07356263,26.31086214
9.8,-8.124975235,30.23821009
9.8,-13.57511274,14.10189106
9.8,-17.47956704,74.50367392
9.8,-1.473615604,16.74660248
9.8,-7.165839601,13.80209222
9.8,-19.94107185,47.39029296
9.8,80.98657501,34.13469946
10,132.1008433,3.720864039
10,7.049977976,44.1646168
10,61.21549218,14.81577302
10,-1.722202405,33.41639152
10,-6.778153914,16.22673497
10,-7.493885214,86.72849443
10,2.410413248,19.21516076
10,-3.325264577,16.40805163
10,-12.22519508,55.91688384
10,63.8381907,53.0863194
10.1,82.57662435,11.52268154
10.1,15.97155164,41.56377674
10.1,77.11313312,5.62700224
10.1,3.781021306,34.40513745
10.1,0.394624622,17.44762518
10.1,3.478955318,98.40364043
10.1,4.764811854,19.18185297
10.1,-0.221265277,17.27307987
10.1,-5.290520085,61.33113103
10.1,43.40395263,72.86476138
10.2,17.55825635,17.14031641
10.2,26.56048448,38.25549398
10.2,89.72608839,-0.808715409
10.2,7.627352616,33.31980539
10.2,6.890305205,17.41804879
10.2,13.19799213,107.3848424
10.2,5.264821361,17.00691183
10.2,1.82247441,16.08596867
10.2,0.135127359,60.0892798
10.2,23.75136461,84.42361732
10.3,-4.360613496,19.61597221
10.3,36.83044686,32.9357112
10.3,96.91115272,-4.956725953
10.3,9.573936956,30.96343666
10.3,10.53025401,15.73246307
10.3,20.28959174,111.2220073
10.3,3.912801352,13.19183713
10.3,2.777301102,13.19344569
10.3,4.415093059,52.41507438
10.3,7.552804448,83.16391626
10.5,17.34695517,18.95619976
10.5,44.57906283,25.93732981
10.5,96.83130182,-7.376603278
10.5,9.382834517,32.02884407
10.5,10.26542963,12.46076788
10.5,23.9895301,107.3871305
10.5,0.957298523,7.49249318
10.5,2.800641396,9.619553518
10.5,5.609755316,41.49915895
10.5,-4.087638632,69.90302047
