group,variable,value
Healthy,10,-13.55981557
Healthy,10,10.69124555
Healthy,10,12.8074207
Healthy,10,-16.23570219
Healthy,10,-27.31563604
Healthy,10,-28.00329877
Healthy,10,-12.23010327
Healthy,10,-14.00550253
Healthy,10,-32.8322099
Healthy,10,95.88026521
Gisngivitis,10,-18.81606212
Gisngivitis,10,79.65667961
Gisngivitis,10,50.17708197
Gisngivitis,10,19.21320458
Gisngivitis,10,7.563948873
Gisngivitis,10,50.42688082
Gisngivitis,10,5.340532035
Gisngivitis,10,6.858829146
Gisngivitis,10,29.5257894
Gisngivitis,10,14.47404365
Mucositis,10,1.420928025
Mucositis,10,-27.91945177
Mucositis,10,-39.13820115
Mucositis,10,57.67486215
Mucositis,10,86.17739901
Mucositis,10,-14.4794464
Mucositis,10,6.559147585
Mucositis,10,63.79185919
Mucositis,10,63.14631598
Mucositis,10,-12.52888232
Mucositis,10,33.78640769
Mucositis,10,-14.52419503
Mucositis,10,47.64124681
Mucositis,10,3.118934606
Mucositis,10,-4.15932548
Periimplantitis,10,-14.55494966
Periimplantitis,10,-31.48580213
Periimplantitis,10,-1.584156289
Periimplantitis,10,0.753069396
Periimplantitis,10,-13.22830129
Periimplantitis,10,0.233193078
Periimplantitis,10,51.33952641
Periimplantitis,10,0.947858056
Periimplantitis,10,-4.96681773
Periimplantitis,10,-2.237393977
Periimplantitis,10,-4.994360857
Periimplantitis,10,51.15115964
Periimplantitis,10,-30.13573505
Periimplantitis,10,-12.66913637
Healthy,10,44.16444615
Healthy,10,2.086344488
Healthy,10,27.49176383
Healthy,10,-13.69311611
Healthy,10,-20.80587048
Healthy,10,-24.79663214
Healthy,10,-6.442239684
Healthy,10,-11.10674415
Healthy,10,-27.25473687
Healthy,10,91.80097637
Gisngivitis,10,-12.93650625
Gisngivitis,10,61.09405751
Gisngivitis,10,38.74429506
Gisngivitis,10,25.55203244
Gisngivitis,10,11.23795377
Gisngivitis,10,62.69074643
Gisngivitis,10,11.9601654
Gisngivitis,10,10.26421799
Gisngivitis,10,38.7784931
Gisngivitis,10,21.15219805
Mucositis,10,-5.774034693
Mucositis,10,-28.65196641
Mucositis,10,-40.3659896
Mucositis,10,35.87993547
Mucositis,10,67.83950394
Mucositis,10,-11.12602008
Mucositis,10,17.03089389
Mucositis,10,46.69454009
Mucositis,10,57.99606201
Mucositis,10,-14.49522309
Mucositis,10,19.4904756
Mucositis,10,-12.63873031
Mucositis,10,19.37129383
Mucositis,10,1.595918781
Mucositis,10,-11.6130103
Periimplantitis,10,-22.95678599
Periimplantitis,10,-30.1035209
Periimplantitis,10,-0.577558769
Periimplantitis,10,-6.900879244
Periimplantitis,10,-9.889094433
Periimplantitis,10,7.922264027
Periimplantitis,10,35.34994434
Periimplantitis,10,3.114473511
Periimplantitis,10,0.383594985
Periimplantitis,10,-7.305630855
Periimplantitis,10,-1.033291367
Periimplantitis,10,38.90666302
Periimplantitis,10,-28.60603652
Periimplantitis,10,-6.872095074
Healthy,10,115.7130126
Healthy,10,1.671737665
Healthy,10,44.07356263
Healthy,10,-8.124975235
Healthy,10,-13.57511274
Healthy,10,-17.47956704
Healthy,10,-1.473615604
Healthy,10,-7.165839601
Healthy,10,-19.94107185
Healthy,10,80.98657501
Gisngivitis,10,-4.855091515
Gisngivitis,10,49.49694043
Gisngivitis,10,26.31086214
Gisngivitis,10,30.23821009
Gisngivitis,10,14.10189106
Gisngivitis,10,74.50367392
Gisngivitis,10,16.74660248
Gisngivitis,10,13.80209222
Gisngivitis,10,47.39029296
Gisngivitis,10,34.13469946
Mucositis,10,-9.301153418
Mucositis,10,-26.91557836
Mucositis,10,-39.56943709
Mucositis,10,19.67221092
Mucositis,10,48.74372705
Mucositis,10,-8.077330812
Mucositis,10,27.99068964
Mucositis,10,33.47404545
Mucositis,10,51.18045691
Mucositis,10,-15.01340207
Mucositis,10,9.930961606
Mucositis,10,-11.0239523
Mucositis,10,3.710783636
Mucositis,10,10.08573696
Mucositis,10,-13.24243568
Periimplantitis,10,-27.85844751
Periimplantitis,10,-26.08925944
Periimplantitis,10,-0.487050726
Periimplantitis,10,-10.43171069
Periimplantitis,10,-7.224833691
Periimplantitis,10,14.98363716
Periimplantitis,10,23.57388872
Periimplantitis,10,11.61904383
Periimplantitis,10,5.390433558
Periimplantitis,10,-7.833402639
Periimplantitis,10,1.998765754
Periimplantitis,10,31.60797842
Periimplantitis,10,-26.74061616
Periimplantitis,10,2.208719089
Healthy,10,132.1008433
Healthy,10,7.049977976
Healthy,10,61.21549218
Healthy,10,-1.722202405
Healthy,10,-6.778153914
Healthy,10,-7.493885214
Healthy,10,2.410413248
Healthy,10,-3.325264577
Healthy,10,-12.22519508
Healthy,10,63.8381907
Gisngivitis,10,3.720864039
Gisngivitis,10,44.1646168
Gisngivitis,10,14.81577302
Gisngivitis,10,33.41639152
Gisngivitis,10,16.22673497
Gisngivitis,10,86.72849443
Gisngivitis,10,19.21516076
Gisngivitis,10,16.40805163
Gisngivitis,10,55.91688384
Gisngivitis,10,53.0863194
Mucositis,10,-10.0033204
Mucositis,10,-23.07121841
Mucositis,10,-37.67719841
Mucositis,10,8.459183033
Mucositis,10,33.00175346
Mucositis,10,-6.377201672
Mucositis,10,37.73997834
Mucositis,10,25.44084717
Mucositis,10,43.12232997
Mucositis,10,-15.03141517
Mucositis,10,3.858603172
Mucositis,10,-9.680695278
Mucositis,10,-2.380567542
Mucositis,10,24.12131873
Mucositis,10,-12.34184903
Periimplantitis,10,-29.67167253
Periimplantitis,10,-21.1032456
Periimplantitis,10,-0.714131798
Periimplantitis,10,-9.257964428
Periimplantitis,10,-5.501025748
Periimplantitis,10,20.46567023
Periimplantitis,10,16.62450882
Periimplantitis,10,23.36494214
Periimplantitis,10,8.91250528
Periimplantitis,10,-4.57055419
Periimplantitis,10,3.776870783
Periimplantitis,10,28.40119614
Periimplantitis,10,-24.96524179
Periimplantitis,10,12.84587758
Healthy,10,82.57662435
Healthy,10,15.97155164
Healthy,10,77.11313312
Healthy,10,3.781021306
Healthy,10,0.394624622
Healthy,10,3.478955318
Healthy,10,4.764811854
Healthy,10,-0.221265277
Healthy,10,-5.290520085
Healthy,10,43.40395263
Gisngivitis,10,11.52268154
Gisngivitis,10,41.56377674
Gisngivitis,10,5.62700224
Gisngivitis,10,34.40513745
Gisngivitis,10,17.44762518
Gisngivitis,10,98.40364043
Gisngivitis,10,19.18185297
Gisngivitis,10,17.27307987
Gisngivitis,10,61.33113103
Gisngivitis,10,72.86476138
Mucositis,10,-9.05818208
Mucositis,10,-20.27550954
Mucositis,10,-35.37161498
Mucositis,10,1.276785667
Mucositis,10,22.22956299
Mucositis,10,-6.268226404
Mucositis,10,45.26363169
Mucositis,10,22.15027312
Mucositis,10,35.33027808
Mucositis,10,-14.86553898
Mucositis,10,0.179844422
Mucositis,10,-8.65724501
Mucositis,10,-2.538128084
Mucositis,10,39.60483028
Mucositis,10,-10.90170973
Periimplantitis,10,-29.58142766
Periimplantitis,10,-16.41643306
Periimplantitis,10,-0.768648699
Periimplantitis,10,-4.272274175
Periimplantitis,10,-4.91286764
Periimplantitis,10,23.53966283
Periimplantitis,10,12.57631264
Periimplantitis,10,35.85189729
Periimplantitis,10,10.23562968
Periimplantitis,10,0.515819241
Periimplantitis,10,4.626181809
Periimplantitis,10,27.43630775
Periimplantitis,10,-23.39373615
Periimplantitis,10,23.19424665
Healthy,10,17.55825635
Healthy,10,26.56048448
Healthy,10,89.72608839
Healthy,10,7.627352616
Healthy,10,6.890305205
Healthy,10,13.19799213
Healthy,10,5.264821361
Healthy,10,1.82247441
Healthy,10,0.135127359
Healthy,10,23.75136461
Gisngivitis,10,17.14031641
Gisngivitis,10,38.25549398
Gisngivitis,10,-0.808715409
Gisngivitis,10,33.31980539
Gisngivitis,10,17.41804879
Gisngivitis,10,107.3848424
Gisngivitis,10,17.00691183
Gisngivitis,10,16.08596867
Gisngivitis,10,60.0892798
Gisngivitis,10,84.42361732
Mucositis,10,-7.451977524
Mucositis,10,-20.9744291
Mucositis,10,-33.00946049
Mucositis,10,-2.841220496
Mucositis,10,15.74941622
Mucositis,10,-7.155796829
Mucositis,10,49.80414881
Mucositis,10,22.32017461
Mucositis,10,28.98135868
Mucositis,10,-14.42466016
Mucositis,10,-1.948184497
Mucositis,10,-7.749294184
Mucositis,10,0.25706719
Mucositis,10,53.08046423
Mucositis,10,-9.388282332
Periimplantitis,10,-28.43328118
Periimplantitis,10,-12.73423268
Periimplantitis,10,-0.719558474
Periimplantitis,10,3.037879139
Periimplantitis,10,-5.409523198
Periimplantitis,10,23.98173165
Periimplantitis,10,8.670983654
Periimplantitis,10,46.73419304
Periimplantitis,10,9.186448718
Periimplantitis,10,5.207001318
Periimplantitis,10,4.883744877
Periimplantitis,10,26.37564129
Periimplantitis,10,-22.21062347
Periimplantitis,10,31.90805951
Healthy,10,-4.360613496
Healthy,10,36.83044686
Healthy,10,96.91115272
Healthy,10,9.573936956
Healthy,10,10.53025401
Healthy,10,20.28959174
Healthy,10,3.912801352
Healthy,10,2.777301102
Healthy,10,4.415093059
Healthy,10,7.552804448
Gisngivitis,10,19.61597221
