MW,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Gisngivitis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Mucositis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis,Periimplantitis
9.6,-13.55981557,10.69124555,12.8074207,-16.23570219,-27.31563604,-28.00329877,-12.23010327,-14.00550253,-32.8322099,95.88026521,-18.81606212,79.65667961,50.17708197,19.21320458,7.563948873,50.42688082,5.340532035,6.858829146,29.5257894,14.47404365,1.420928025,-27.91945177,-39.13820115,57.67486215,86.17739901,-14.4794464,6.559147585,63.79185919,63.14631598,-12.52888232,33.78640769,-14.52419503,47.64124681,3.118934606,-4.15932548,-14.55494966,-31.48580213,-1.584156289,0.753069396,-13.22830129,0.233193078,51.33952641,0.947858056,-4.96681773,-2.237393977,-4.994360857,51.15115964,-30.13573505,-12.66913637
9.7,44.16444615,2.086344488,27.49176383,-13.69311611,-20.80587048,-24.79663214,-6.442239684,-11.10674415,-27.25473687,91.80097637,-12.93650625,61.09405751,38.74429506,25.55203244,11.23795377,62.69074643,11.9601654,10.26421799,38.7784931,21.15219805,-5.774034693,-28.65196641,-40.3659896,35.87993547,67.83950394,-11.12602008,17.03089389,46.69454009,57.99606201,-14.49522309,19.4904756,-12.63873031,19.37129383,1.595918781,-11.6130103,-22.95678599,-30.1035209,-0.577558769,-6.900879244,-9.889094433,7.922264027,35.34994434,3.114473511,0.383594985,-7.305630855,-1.033291367,38.90666302,-28.60603652,-6.872095074
9.8,115.7130126,1.671737665,44.07356263,-8.124975235,-13.57511274,-17.47956704,-1.473615604,-7.165839601,-19.94107185,80.98657501,-4.855091515,49.49694043,26.31086214,30.23821009,14.10189106,74.50367392,16.74660248,13.80209222,47.39029296,34.13469946,-9.301153418,-26.91557836,-39.56943709,19.67221092,48.74372705,-8.077330812,27.99068964,33.47404545,51.18045691,-15.01340207,9.930961606,-11.0239523,3.710783636,10.08573696,-13.24243568,-27.85844751,-26.08925944,-0.487050726,-10.43171069,-7.224833691,14.98363716,23.57388872,11.61904383,5.390433558,-7.833402639,1.998765754,31.60797842,-26.74061616,2.208719089
10,132.1008433,7.049977976,61.21549218,-1.722202405,-6.778153914,-7.493885214,2.410413248,-3.325264577,-12.22519508,63.8381907,3.720864039,44.1646168,14.81577302,33.41639152,16.22673497,86.72849443,19.21516076,16.40805163,55.91688384,53.0863194,-10.0033204,-23.07121841,-37.67719841,8.459183033,33.00175346,-6.377201672,37.73997834,25.44084717,43.12232997,-15.03141517,3.858603172,-9.680695278,-2.380567542,24.12131873,-12.34184903,-29.67167253,-21.1032456,-0.714131798,-9.257964428,-5.501025748,20.46567023,16.62450882,23.36494214,8.91250528,-4.57055419,3.776870783,28.40119614,-24.96524179,12.84587758
10.1,82.57662435,15.97155164,77.11313312,3.781021306,0.394624622,3.478955318,4.764811854,-0.221265277,-5.290520085,43.40395263,11.52268154,41.56377674,5.62700224,34.40513745,17.44762518,98.40364043,19.18185297,17.27307987,61.33113103,72.86476138,-9.05818208,-20.27550954,-35.37161498,1.276785667,22.22956299,-6.268226404,45.26363169,22.15027312,35.33027808,-14.86553898,0.179844422,-8.65724501,-2.538128084,39.60483028,-10.90170973,-29.58142766,-16.41643306,-0.768648699,-4.272274175,-4.91286764,23.53966283,12.57631264,35.85189729,10.23562968,0.515819241,4.626181809,27.43630775,-23.39373615,23.19424665
10.2,17.55825635,26.56048448,89.72608839,7.627352616,6.890305205,13.19799213,5.264821361,1.82247441,0.135127359,23.75136461,17.14031641,38.25549398,-0.808715409,33.31980539,17.41804879,107.3848424,17.00691183,16.08596867,60.0892798,84.42361732,-7.451977524,-20.9744291,-33.00946049,-2.841220496,15.74941622,-7.155796829,49.80414881,22.32017461,28.98135868,-14.42466016,-1.948184497,-7.749294184,0.25706719,53.08046423,-9.388282332,-28.43328118,-12.73423268,-0.719558474,3.037879139,-5.409523198,23.98173165,8.670983654,46.73419304,9.186448718,5.207001318,4.883744877,26.37564129,-22.21062347,31.90805951
10.3,-4.360613496,36.83044686,96.91115272,9.573936956,10.53025401,20.28959174,3.912801352,2.777301102,4.415093059,7.552804448,19.61597221,32.9357112,-4.956725953,30.96343666,15.73246307,111.2220073,13.19183713,13.19344569,52.41507438,83.16391626,-6.241552608,-23.50833331,-30.67909246,-4.999932516,12.07122128,-8.433951765,50.51812793,23.84493135,23.81495602,-13.71746114,-2.787435194,-7.081412009,3.504557456,62.30488958,-8.200615575,-26.45890181,-10.14045494,-1.107858428,10.96193699,-6.922441302,21.91593986,3.626957533,53.89245593,6.457035555,7.978618905,4.519907693,23.39486819,-21.52488071,37.76157809
10.5,17.34695517,44.57906283,96.83130182,9.382834517,10.26542963,23.9895301,0.957298523,2.800641396,5.609755316,-4.087638632,18.95619976,25.93732981,-7.376603278,32.02884407,12.46076788,107.3871305,7.49249318,9.619553518,41.49915895,69.90302047,-5.687157445,-24.82792849,-28.58823839,-5.919544289,9.469330142,-9.833614074,47.27354693,24.78571589,18.79176932,-12.92650406,-3.0003346,-6.904156268,5.724654266,65.37438497,-7.244467786,-24.05193435,-8.812923743,-1.825517731,17.95111579,-8.855603424,17.7512002,-1.296593434,55.61552785,2.956225015,8.959978388,3.652150564,17.81238068,-21.2976371,39.77559945
10.6,18.02234615,48.20594665,88.44565187,7.579053684,7.885204604,23.99370771,-3.102685525,2.056099788,6.236935136,-11.41650289,15.7770002,18.12749799,-8.736026603,32.78401618,8.116372461,94.97945704,-0.2130729,5.763206552,29.36636289,49.98644373,-5.961559426,-24.52335957,-26.86423603,-6.033131513,6.770539804,-11.04745993,40.80843001,23.62096656,13.77628012,-11.92375119,-2.984027139,-6.716024007,6.288890239,61.28755724,-6.359790227,-21.48317068,-8.485180894,-2.456213197,22.68167176,-10.84001779,12.26136331,-4.533717311,51.08741855,-0.484395497,9.407592817,2.696703653,10.45502948,-21.42217928,37.54744023
10.7,18.78059769,47.03965698,72.72247757,4.875647646,5.502977966,20.36958502,-7.531062964,0.909415054,8.749725901,-14.96229655,10.91911873,9.824077993,-9.450357793,23.34824639,3.423683697,74.93478188,-9.331529608,1.650492666,14.85311644,31.71775506,-7.181564766,-21.99261824,-25.46369321,-5.517189818,3.542944874,-11.82477277,32.26253173,20.06182442,9.648359091,-10.55739853,-2.986862149,-6.416441343,5.319600649,50.76119603,-5.416827781,-19.33843321,-8.883827544,-2.961702567,24.41928485,-12.5960624,6.862925418,-5.840944153,40.99020412,-3.293037492,9.677933637,1.97248179,2.53540415,-21.67445519,31.41150503
