"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","Protein_concentration","Healthy","Soft tissue",17,33,0.309980769200846,0.756575580512874,1,"ns"
"2","Protein_concentration","Healthy","Hard tissue",17,10,1.1064811344717,0.268518325163331,1,"ns"
"3","Protein_concentration","Healthy","Mix",17,13,0.0263373039230103,0.978988300994768,1,"ns"
"4","Protein_concentration","Soft tissue","Hard tissue",33,10,0.965219989865742,0.334434636621294,1,"ns"
"5","Protein_concentration","Soft tissue","Mix",33,13,-0.252976667271528,0.800286243685666,1,"ns"
"6","Protein_concentration","Hard tissue","Mix",10,13,-1.02528719903162,0.305227694065359,1,"ns"
"7","Volume","Healthy","Soft tissue",17,33,1.20972325745015,0.226385102405046,1,"ns"
"8","Volume","Healthy","Hard tissue",17,10,0.0584737751787191,0.953371251118721,1,"ns"
"9","Volume","Healthy","Mix",17,13,0.190268458657518,0.849098768487903,1,"ns"
"10","Volume","Soft tissue","Hard tissue",33,10,-0.935932363189164,0.349308013031984,1,"ns"
"11","Volume","Soft tissue","Mix",33,13,-0.888825686965999,0.374096768576315,1,"ns"
"12","Volume","Hard tissue","Mix",10,13,0.111260832827583,0.911409513391479,1,"ns"
"13","Flux","Healthy","Soft tissue",17,33,1.20972325745015,0.226385102405046,1,"ns"
"14","Flux","Healthy","Hard tissue",17,10,0.0584737751787191,0.953371251118721,1,"ns"
"15","Flux","Healthy","Mix",17,13,0.190268458657518,0.849098768487903,1,"ns"
"16","Flux","Soft tissue","Hard tissue",33,10,-0.935932363189164,0.349308013031984,1,"ns"
"17","Flux","Soft tissue","Mix",33,13,-0.888825686965999,0.374096768576315,1,"ns"
"18","Flux","Hard tissue","Mix",10,13,0.111260832827583,0.911409513391479,1,"ns"
"19","pH","Healthy","Soft tissue",17,33,0.761578883682081,0.446311381750413,1,"ns"
"20","pH","Healthy","Hard tissue",17,10,1.12048983440249,0.262505082145064,1,"ns"
"21","pH","Healthy","Mix",17,13,-0.111147064968204,0.91149972747385,1,"ns"
"22","pH","Soft tissue","Hard tissue",33,10,0.607196457897605,0.543720542648667,1,"ns"
"23","pH","Soft tissue","Mix",33,13,-0.819391835071215,0.412562891846322,1,"ns"
"24","pH","Hard tissue","Mix",10,13,-1.15898748606233,0.246461285952847,1,"ns"
