"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","Protein_concentration","Healthy","Gingivitis",17,4,-0.427805830534431,0.66879249165227,1,"ns"
"2","Protein_concentration","Healthy","Mucositis",17,20,-0.0277344972617527,0.977873909443008,1,"ns"
"3","Protein_concentration","Healthy","Peri-implantitis",17,6,1.62505906331075,0.104149974428693,1,"ns"
"4","Protein_concentration","Healthy","Gingivitis and Mucositis",17,9,1.12876886872712,0.258995348505238,1,"ns"
"5","Protein_concentration","Healthy","Gingivitis and Peri-implantitis",17,2,0.832619858614454,0.405059155497428,1,"ns"
"6","Protein_concentration","Healthy","Mucositis and Periodontitis",17,4,-0.597431465964992,0.550219350804285,1,"ns"
"7","Protein_concentration","Healthy","Mucositis and Peri-implantitis",17,6,-0.178075334482556,0.858663812647891,1,"ns"
"8","Protein_concentration","Healthy","Periodontitis and Peri-implantitis",17,4,-0.0991561618877181,0.921014281009397,1,"ns"
"9","Protein_concentration","Healthy","Gingivitis, Mucositis and Peri-implantitis",17,1,0.696492616933266,0.48612037935149,1,"ns"
"10","Protein_concentration","Gingivitis","Mucositis",4,20,0.417347478699278,0.676424265237218,1,"ns"
"11","Protein_concentration","Gingivitis","Peri-implantitis",4,6,1.56377469486469,0.117870489008524,1,"ns"
"12","Protein_concentration","Gingivitis","Gingivitis and Mucositis",4,9,1.16995199437585,0.242020288147987,1,"ns"
"13","Protein_concentration","Gingivitis","Gingivitis and Peri-implantitis",4,2,0.993227921799358,0.320598894145238,1,"ns"
"14","Protein_concentration","Gingivitis","Mucositis and Periodontitis",4,4,-0.133309677079089,0.893948474708352,1,"ns"
"15","Protein_concentration","Gingivitis","Mucositis and Peri-implantitis",4,6,0.237304331127326,0.81242070230593,1,"ns"
"16","Protein_concentration","Gingivitis","Periodontitis and Peri-implantitis",4,4,0.258287499340735,0.796185033122454,1,"ns"
"17","Protein_concentration","Gingivitis","Gingivitis, Mucositis and Peri-implantitis",4,1,0.853663482765716,0.393291473057579,1,"ns"
"18","Protein_concentration","Mucositis","Peri-implantitis",20,6,1.67747387804072,0.0934498533550305,1,"ns"
"19","Protein_concentration","Mucositis","Gingivitis and Mucositis",20,9,1.18206028135104,0.237181782798547,1,"ns"
"20","Protein_concentration","Mucositis","Gingivitis and Peri-implantitis",20,2,0.851608792191459,0.394431258085171,1,"ns"
"21","Protein_concentration","Mucositis","Mucositis and Periodontitis",20,4,-0.589449531771145,0.555559757856281,1,"ns"
"22","Protein_concentration","Mucositis","Mucositis and Peri-implantitis",20,6,-0.162009549589446,0.871298333735183,1,"ns"
"23","Protein_concentration","Mucositis","Periodontitis and Peri-implantitis",20,4,-0.0838997508725353,0.933136137638585,1,"ns"
"24","Protein_concentration","Mucositis","Gingivitis, Mucositis and Peri-implantitis",20,1,0.708341609970844,0.478733143164863,1,"ns"
"25","Protein_concentration","Peri-implantitis","Gingivitis and Mucositis",6,9,-0.581274525014409,0.561055447083411,1,"ns"
"26","Protein_concentration","Peri-implantitis","Gingivitis and Peri-implantitis",6,2,-0.182795147624586,0.854958756098833,1,"ns"
"27","Protein_concentration","Peri-implantitis","Mucositis and Periodontitis",6,4,-1.70980812940458,0.0873013592469691,1,"ns"
"28","Protein_concentration","Peri-implantitis","Mucositis and Peri-implantitis",6,6,-1.48303895172781,0.138064062096558,1,"ns"
"29","Protein_concentration","Peri-implantitis","Periodontitis and Peri-implantitis",6,4,-1.28083491544365,0.200251657319436,1,"ns"
"30","Protein_concentration","Peri-implantitis","Gingivitis, Mucositis and Peri-implantitis",6,1,-0.0509084738404204,0.959398453119206,1,"ns"
"31","Protein_concentration","Gingivitis and Mucositis","Gingivitis and Peri-implantitis",9,2,0.200971899906719,0.840720546396019,1,"ns"
"32","Protein_concentration","Gingivitis and Mucositis","Mucositis and Periodontitis",9,4,-1.32681706624747,0.18456920361623,1,"ns"
"33","Protein_concentration","Gingivitis and Mucositis","Mucositis and Peri-implantitis",9,6,-1.04331325002586,0.296803236385912,1,"ns"
"34","Protein_concentration","Gingivitis and Mucositis","Periodontitis and Peri-implantitis",9,4,-0.86602591762458,0.386475948992921,1,"ns"
"35","Protein_concentration","Gingivitis and Mucositis","Gingivitis, Mucositis and Peri-implantitis",9,1,0.238471600005911,0.811515339948065,1,"ns"
"36","Protein_concentration","Gingivitis and Peri-implantitis","Mucositis and Periodontitis",2,4,-1.10207481733901,0.270429146414509,1,"ns"
"37","Protein_concentration","Gingivitis and Peri-implantitis","Mucositis and Peri-implantitis",2,6,-0.865871751905936,0.38656049561086,1,"ns"
"38","Protein_concentration","Gingivitis and Peri-implantitis","Periodontitis and Peri-implantitis",2,4,-0.782337061691275,0.434016511451772,1,"ns"
"39","Protein_concentration","Gingivitis and Peri-implantitis","Gingivitis, Mucositis and Peri-implantitis",2,1,0.0769663779471943,0.938650292111109,1,"ns"
"40","Protein_concentration","Mucositis and Periodontitis","Mucositis and Peri-implantitis",4,6,0.38333776566722,0.701469340996544,1,"ns"
"41","Protein_concentration","Mucositis and Periodontitis","Periodontitis and Peri-implantitis",4,4,0.391597176419825,0.695355874510346,1,"ns"
"42","Protein_concentration","Mucositis and Periodontitis","Gingivitis, Mucositis and Peri-implantitis",4,1,0.937975925508009,0.348256782291566,1,"ns"
"43","Protein_concentration","Mucositis and Peri-implantitis","Periodontitis and Peri-implantitis",6,4,0.0456354482937166,0.963600814941006,1,"ns"
"44","Protein_concentration","Mucositis and Peri-implantitis","Gingivitis, Mucositis and Peri-implantitis",6,1,0.741809190246127,0.458202951587048,1,"ns"
"45","Protein_concentration","Periodontitis and Peri-implantitis","Gingivitis, Mucositis and Peri-implantitis",4,1,0.690308124952523,0.49000043946963,1,"ns"
"46","Volume","Healthy","Gingivitis",17,4,1.30855662759602,0.190684580873211,1,"ns"
"47","Volume","Healthy","Mucositis",17,20,0.313679904628775,0.753764164776193,1,"ns"
"48","Volume","Healthy","Peri-implantitis",17,6,0.186463127708708,0.852081591567643,1,"ns"
"49","Volume","Healthy","Gingivitis and Mucositis",17,9,1.87049395137527,0.0614152561719824,1,"ns"
"50","Volume","Healthy","Gingivitis and Peri-implantitis",17,2,-0.801596252440445,0.422786546124071,1,"ns"
"51","Volume","Healthy","Mucositis and Periodontitis",17,4,0.608413310398722,0.542913385721564,1,"ns"
"52","Volume","Healthy","Mucositis and Peri-implantitis",17,6,-0.310122747651296,0.756467614348108,1,"ns"
"53","Volume","Healthy","Periodontitis and Peri-implantitis",17,4,-0.134162935113564,0.89327373437749,1,"ns"
"54","Volume","Healthy","Gingivitis, Mucositis and Peri-implantitis",17,1,1.59471186709342,0.110776683081676,1,"ns"
"55","Volume","Gingivitis","Mucositis",4,20,-1.13873650612109,0.254813071505279,1,"ns"
"56","Volume","Gingivitis","Peri-implantitis",4,6,-0.989386386674639,0.322474132471088,1,"ns"
"57","Volume","Gingivitis","Gingivitis and Mucositis",4,9,0.0730314747905835,0.941781071116684,1,"ns"
"58","Volume","Gingivitis","Gingivitis and Peri-implantitis",4,2,-1.53161668842742,0.125617051874071,1,"ns"
"59","Volume","Gingivitis","Mucositis and Periodontitis",4,4,-0.550246307332847,0.582150445848405,1,"ns"
"60","Volume","Gingivitis","Mucositis and Peri-implantitis",4,6,-1.35469828329297,0.17551370506764,1,"ns"
"61","Volume","Gingivitis","Periodontitis and Peri-implantitis",4,4,-1.13384087571617,0.25686130148718,1,"ns"
"62","Volume","Gingivitis","Gingivitis, Mucositis and Peri-implantitis",4,1,0.817287572171713,0.413764107261814,1,"ns"
"63","Volume","Mucositis","Peri-implantitis",20,6,-0.0320844419501192,0.974404710548535,1,"ns"
