skim_type,skim_variable,oral_pathology,n_missing,complete_rate,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist
numeric,pH,Gingivitis,0,1,7.109999999999999,0.3653309002352068,6.68,6.935,7.1,7.2749999999999995,7.56,▇▇▇▁▇
numeric,pH,Gingivitis_Mucositis,0,1,6.7444444444444445,0.5229510280875043,6.11,6.34,6.58,7.17,7.6,▇▂▂▂▃
numeric,pH,Gingivitis_Mucositis_Periimplantitis,0,1,6.75,NA,6.75,6.75,6.75,6.75,6.75,▁▁▇▁▁
numeric,pH,Gingivitis_Periimplantitis,0,1,6.51,0.9050966799187811,5.87,6.1899999999999995,6.51,6.830000000000001,7.15,▇▁▁▁▇
numeric,pH,Healthy,0,1,6.725882352941176,0.5191466414165824,5.86,6.33,6.6,7.02,7.7,▂▇▅▃▂
numeric,pH,Mucositis,0,1,6.827,0.5970814984484728,5.74,6.4875,6.82,7.0375000000000005,7.94,▂▅▇▂▃
numeric,pH,Mucositis_Periimplantitis,0,1,6.693,0.3211455191100203,6.28,6.505000000000001,6.640000000000001,6.869999999999999,7.21,▅▇▅▂▅
numeric,pH,Periimplantitis,0,1,6.786666666666666,0.29014938681077146,6.47,6.55,6.79,7.0525,7.06,▇▁▁▁▇
numeric,pH,Periodontitis_Periimplantitis,0,1,7.03,0.3195830617121838,6.71,6.785,7.02,7.265000000000001,7.37,▇▁▁▃▃
numeric,Protein_concentration,Gingivitis,0,1,2538.25,425.314295550949,2032,2354.5,2528,2711.75,3065,▃▁▇▁▃
numeric,Protein_concentration,Gingivitis_Mucositis,0,1,3324.777777777778,989.3717422912605,1791,2701,3644,3858,4594,▅▂▂▇▅
numeric,Protein_concentration,Gingivitis_Mucositis_Periimplantitis,0,1,3501,NA,3501,3501,3501,3501,3501,▁▁▇▁▁
numeric,Protein_concentration,Gingivitis_Periimplantitis,0,1,4914.5,3553.2115754624015,2402,3658.25,4914.5,6170.75,7427,▇▁▁▁▇
numeric,Protein_concentration,Healthy,0,1,3457.764705882353,2755.1639136676554,247,2009,2567,3624,11672,▇▆▁▁▁
numeric,Protein_concentration,Mucositis,0,1,2983,1776.8102703558716,418,1892.75,2987,3467.25,7814,▅▇▃▁▂
numeric,Protein_concentration,Mucositis_Periimplantitis,0,1,2734.6,1477.9099506472721,538,1911.5,2561,3117.5,5869,▂▇▆▂▂
numeric,Protein_concentration,Periimplantitis,0,1,3783.8333333333335,1030.018138998856,2811,2981,3597.5,4218.5,5496,▇▁▅▁▂
numeric,Protein_concentration,Periodontitis_Periimplantitis,0,1,2753,694.6054035685777,1906,2401.75,2776,3127.25,3554,▇▁▇▇▇
numeric,Volume,Gingivitis,0,1,1287.5,772.8464703074386,500,950,1150,1487.5,2350,▃▇▁▁▃
numeric,Volume,Gingivitis_Mucositis,0,1,1952.2222222222222,1928.7092690305722,400,800,900,2800,6320,▇▁▂▁▁
numeric,Volume,Gingivitis_Mucositis_Periimplantitis,0,1,2700,NA,2700,2700,2700,2700,2700,▁▁▇▁▁
numeric,Volume,Gingivitis_Periimplantitis,0,1,450,353.5533905932738,200,325,450,575,700,▇▁▁▁▇
numeric,Volume,Healthy,0,1,794.1176470588235,605.1555463631789,50,450,650,1000,2500,▇▇▃▁▁
numeric,Volume,Mucositis,0,1,1160.05,1496.3151397243898,150,365.75,500,1375,6630,▇▂▁▁▁
numeric,Volume,Mucositis_Periimplantitis,0,1,816.5,621.0656165011874,25,292.5,775,1225,1750,▇▅▅▂▅
numeric,Volume,Periimplantitis,0,1,808.3333333333334,518.0894388681038,300,412.5,675,1125,1600,▇▁▂▂▂
numeric,Volume,Periodontitis_Periimplantitis,0,1,685,399.0405159045048,140,522.5,775,937.5,1050,▃▁▃▁▇
numeric,Flux,Gingivitis,0,1,643.75,386.4232351537193,250,475,575,743.75,1175,▃▇▁▁▃
numeric,Flux,Gingivitis_Mucositis,0,1,976.1111111111111,964.3546345152861,200,400,450,1400,3160,▇▁▂▁▁
numeric,Flux,Gingivitis_Mucositis_Periimplantitis,0,1,1350,NA,1350,1350,1350,1350,1350,▁▁▇▁▁
numeric,Flux,Gingivitis_Periimplantitis,0,1,225,176.7766952966369,100,162.5,225,287.5,350,▇▁▁▁▇
numeric,Flux,Healthy,0,1,397.05882352941177,302.57777318158946,25,225,325,500,1250,▇▇▃▁▁
numeric,Flux,Mucositis,0,1,580.025,748.1575698621949,75,182.875,250,687.5,3315,▇▂▁▁▁
numeric,Flux,Mucositis_Periimplantitis,0,1,408.25,310.5328082505937,12.5,146.25,387.5,612.5,875,▇▅▅▂▅
numeric,Flux,Periimplantitis,0,1,404.1666666666667,259.0447194340519,150,206.25,337.5,562.5,800,▇▁▂▂▂
numeric,Flux,Periodontitis_Periimplantitis,0,1,342.5,199.5202579522524,70,261.25,387.5,468.75,525,▃▁▃▁▇
numeric,Gender,Gingivitis,0,1,1.75,0.5,1,1.75,2,2,2,▂▁▁▁▇
numeric,Gender,Gingivitis_Mucositis,0,1,1.3333333333333333,0.5,1,1,1,2,2,▇▁▁▁▃
numeric,Gender,Gingivitis_Mucositis_Periimplantitis,0,1,2,NA,2,2,2,2,2,▁▁▇▁▁
numeric,Gender,Gingivitis_Periimplantitis,0,1,1.5,0.7071067811865476,1,1.25,1.5,1.75,2,▇▁▁▁▇
numeric,Gender,Healthy,0,1,1.4705882352941178,0.5144957554275266,1,1,1,2,2,▇▁▁▁▇
numeric,Gender,Mucositis,0,1,1.3,0.47016234598162715,1,1,1,2,2,▇▁▁▁▃
numeric,Gender,Mucositis_Periimplantitis,0,1,1.3,0.48304589153964794,1,1,1,1.75,2,▇▁▁▁▃
numeric,Gender,Periimplantitis,0,1,1.5,0.5477225575051661,1,1,1.5,2,2,▇▁▁▁▇
numeric,Gender,Periodontitis_Periimplantitis,0,1,1.25,0.5,1,1,1,1.25,2,▇▁▁▁▂
numeric,Age,Gingivitis,0,1,49.75,7.804912982645397,39,46.5,52,55.25,56,▃▁▃▁▇
numeric,Age,Gingivitis_Mucositis,0,1,57,14.150971698084906,37,51,57,63,78,▇▇▇▃▇
numeric,Age,Gingivitis_Mucositis_Periimplantitis,0,1,54,NA,54,54,54,54,54,▁▁▇▁▁
numeric,Age,Gingivitis_Periimplantitis,0,1,59.5,2.1213203435596424,58,58.75,59.5,60.25,61,▇▁▁▁▇
numeric,Age,Healthy,0,1,54.05882352941177,15.586334512303132,28,42,55,58,89,▅▇▇▅▂
numeric,Age,Mucositis,0,1,61.8,9.384197242957804,45,54.75,62.5,68.5,79,▅▇▇▆▅
numeric,Age,Mucositis_Periimplantitis,0,1,63.2,9.126274644612057,54,57.5,59.5,68.5,82,▇▃▂▂▂
numeric,Age,Periimplantitis,0,1,67.66666666666667,9.953223933312596,53,64.25,66,73,82,▃▃▇▃▃
numeric,Age,Periodontitis_Periimplantitis,0,1,48,9.899494936611665,34,45.25,50.5,53.25,57,▃▁▁▇▃
numeric,Smoking,Gingivitis,0,1,0.75,0.5,0,0.75,1,1,1,▂▁▁▁▇
numeric,Smoking,Gingivitis_Mucositis,0,1,0.6666666666666666,0.9999999999999999,0,0,0,1,3,▇▅▁▁▂
numeric,Smoking,Gingivitis_Mucositis_Periimplantitis,0,1,3,NA,3,3,3,3,3,▁▁▇▁▁
numeric,Smoking,Gingivitis_Periimplantitis,0,1,0.5,0.7071067811865476,0,0.25,0.5,0.75,1,▇▁▁▁▇
numeric,Smoking,Healthy,0,1,1,1.3693063937629153,0,0,0,3,3,▇▂▁▁▃
numeric,Smoking,Mucositis,0,1,0.45,0.9445132413883327,0,0,0,0.25,3,▇▂▁▁▁
numeric,Smoking,Mucositis_Periimplantitis,0,1,0.6,0.9660917830792959,0,0,0,1,3,▇▃▁▁▁
numeric,Smoking,Periimplantitis,0,1,1,1.5491933384829668,0,0,0,2.25,3,▇▁▁▁▃
numeric,Smoking,Periodontitis_Periimplantitis,0,1,0.75,1.5,0,0,0,0.75,3,▇▁▁▁▂
numeric,Alcool,Gingivitis,0,1,1,0,1,1,1,1,1,▁▁▇▁▁
numeric,Alcool,Gingivitis_Mucositis,0,1,0.4444444444444444,0.5270462766947299,0,0,0,1,1,▇▁▁▁▆
numeric,Alcool,Gingivitis_Mucositis_Periimplantitis,0,1,1,NA,1,1,1,1,1,▁▁▇▁▁
numeric,Alcool,Gingivitis_Periimplantitis,0,1,0.5,0.7071067811865476,0,0.25,0.5,0.75,1,▇▁▁▁▇
numeric,Alcool,Healthy,0,1,0.35294117647058826,0.49259218307188907,0,0,0,1,1,▇▁▁▁▅
