Sample,P1a,p1_mw,p1_max,P2a,p2_mw,p2_max,P3a,p3_mw,p3_max,P4a,p4_mw,p4_max,P5a,p5_mw,p5_max,P6a,p6_mw,p6_max
D1122,527.65810629,16.1,88.40221096,373.84080054,27.9,28.67194455,74.47966670000002,37.4,11.37757015,1601.9575987199994,44.9,91.51965936,4382.610201899999,61.3,588.8247012999999,1840.6996802,69.1,214.249803
D1127,1464.9105923199998,15.9,196.7963495,387.42840153,29,27.60413837,71.12910114399999,35,6.112978674,413.64425392,45.4,37.95352021,2119.0929391,62.2,279.55258050000003,874.5869922,70.5,101.2398076
D1132,186.95893536,16.1,31.50572797,85.287408294,28.3,10.68851577,2.000455487,34.3,0.64654319,294.95845475,44.4,27.67644911,2382.4950086999997,61.3,312.6795612,1256.53351467,68.8,92.3560401
D1138,808.53416613,16.6,131.4972175,178.63628754,30.3,21.72602542,3.571795924,38.4,1.702329419,379.47809947,48.2,48.1683533,1035.6310918499996,62.9,137.4814147,1198.18675477,69.1,62.67470065
D1143,759.57031139,16.6,113.6320584,638.74372131,28.8,42.92031256,659.1758604899999,37.7,28.89714519,835.85393358,47.6,34.61069529,2948.2173642,62.2,345.5240997,2459.3145627500007,70.1,130.6080767
D1163,227.61201577,16.2,36.83183222,280.45082203,29.2,22.16398478,467.05296030000005,33,30.85421212,2728.9964939,46,219.721554,10769.764127600001,61.6,1155.7623640000004,4642.5664055,70.5,437.2828577
D1165,203.18283046,16.7,35.13472460000001,629.8816438900002,28.8,46.36443523,722.4027827899997,35.5,32.58080602,1138.9974105700005,44.9,49.45939707,1913.8937889000001,63.2,282.2703178000001,1047.51371312,71.8,104.7176397
D1167,1193.79005168,16.2,197.9279875,165.55602456699998,27.7,12.10770329,27.412476841999997,35.8,3.715930342,892.61529613,45.2,64.28566506,1596.34471806,61.3,212.7920182,681.34374173,69.8,72.8140072
D1172,166.81855204,15.9,21.54132296,126.65907903,28.1,9.908224686,13.221595503,39.9,10.15551109,1005.63454893,43.6,70.75235144,2839.3629043,61.3,335.0111238,1573.85101712,68.8,113.8549902
D1177,745.19068709,16.1,122.131124,189.216961083,28.8,15.7153464,36.825021248,33.9,4.76749844,564.9523098799998,43.8,37.52763062,3547.1930891999996,61.3,466.9314174,1602.71319786,69.4,172.68483390000003
D1179,226.14304911,16.6,34.43750429999999,342.4237517800001,29,29.22595465,60.44899956800001,35.5,5.349372176,949.89843505,46.5,61.25504626,4325.9341171000015,62.9,519.9393703,2071.52790671,70.8,193.6946256
D1183,1162.41042142,16.6,210.70308030000004,329.5960050000001,29.6,22.01545971,184.595484398,37.4,18.49774331,839.15380322,47.1,67.26926063,1396.66385345,61.9,204.4604242,1330.15775778,70.5,111.3174769
D1195,119.276179932,16.2,22.36048114,205.489334087,28.3,15.94741963,39.908710759,34.6,3.449491359,822.1532513699997,45.4,63.17277503,1395.3185070000006,61.9,189.4875842,775.3342032300003,69.8,64.42586277
D1199,1647.6849447999994,16.4,303.71797410000005,479.83286876,29,59.37488620000001,270.43795221,33.4,28.81564951,107.745954557,43,11.74860446,5413.9267082,61.6,791.2332074,1513.29735079,68.4,155.69986740000004
D1202,465.53452874,16.2,78.34620699,230.97618675400003,28.3,16.71860063,25.842190745,39.9,12.05085299,1199.3976847000001,43.8,82.90190283,2090.08241,61.6,304.4926659,930.98840356,69.8,87.98345415
D1261,766.15936774,16.6,115.8653357,483.58693991000007,29.4,28.46182771,128.56378971,35.8,8.656482381,337.3300522400001,47.6,27.68714492,3363.6310424999997,63.2,492.3035455,2295.76180118,71.8,159.9780486
D1268,1133.22392255,16.4,155.5047507,649.23900467,30.1,29.57901273,119.089228634,33.9,10.82650661,1378.26165672,45.7,78.70990048,2245.6105244000005,62.2,274.4017639,1696.8575649600002,71.1,107.8192767
D1271,627.3131199900001,15.9,94.40298045,199.55211574900002,28.1,17.67089361,16.582490176,34.6,2.016155533,85.48763633600001,44.6,6.788083487000001,1779.3706022999993,62.2,264.2048075,1393.01075292,69.4,129.7809622
D1292,105.869447938,16.1,27.16163961,375.75245912,28.3,31.58446868,848.45136784,33.2,55.14563639,1475.6139670700006,44.9,118.2422097,2342.1616698000007,61.3,372.6408771,1741.8133799900006,69.1,164.399456
D137,336.01063452,16.1,64.17447481,529.86303458,28.3,44.88828966,767.33767846,35.8,38.53892348,969.63091982,45.2,60.99361908,1220.07489354,61.6,199.5160411,2211.44345467,69.4,67.04348532
D1388,623.02265155,16.4,106.3625357,236.515209902,28.8,17.47098151,225.649697571,39.9,10.49823985,1280.8636575299995,46,89.74708208,5105.452220800002,62.2,715.4731881,1833.4447881,70.8,209.7700542
D1392,196.42494063,16.2,32.82442891,291.27471229,28.8,38.6090554,679.91361299,33.2,59.7797861,1815.85480611,45.2,156.3818185,8801.227138799999,61.3,1216.360199,4196.6419393,69.4,493.454107
D1394,736.79476705,16.2,119.385643,311.9950226539998,28.5,24.09859878,135.207510501,37.7,9.523192975,1231.33434877,45.4,96.26780432,4638.4949516000015,61.9,605.8926042,1754.1210889000006,70.1,221.6123405
D1396,355.88936501,16.4,53.63657532,456.59315175000006,28.8,31.07250315,283.357461813,34.8,14.98007712,129.32907010600002,47.9,19.17192518,2161.235053000001,62.5,313.9445608,1320.73394546,71.1,125.397815
D1401,1118.33166641,16.4,182.3721292,285.60141033,28.1,27.65120302,165.98191016500004,37.9,11.19094601,1801.03322492,46.8,118.1289894,3330.2579647,62.9,476.0561194,1474.21759196,70.8,159.5392188
D1402,1169.65893401,16.7,156.5490868,420.33346265,30.1,24.68705802,280.669803861,38.2,16.34825618,1679.8496368499998,46.3,94.11579798,3770.3521001000013,62.9,473.9345071,1708.11518273,72.2,159.9290207
D1404,570.897194,16.4,92.54911212,214.670651102,29.2,14.25535335,219.12917007299998,33.2,14.54998876,623.27669505,46.3,53.19140238,4790.849798599998,61.9,616.1089128,1648.5515985,70.5,188.7319711
D1406,1205.2510340600004,16.1,227.3595417,321.81707574,27.7,29.43050913,37.313245736,39.9,26.31122233,2328.3891484500004,43.3,165.51047580000005,2342.6889724,61.3,386.8393794,1340.7790278400005,68.8,169.27774309999995
D1411,1053.9406236,16.2,181.3410626,296.81070974999994,27.9,28.96599109,26.439142634,37.4,6.161573861,1658.28263626,44.9,101.1151317,4128.8100669,61.9,580.5384365,1966.229734,69.8,213.0172234
D1412,1472.3054249000006,16.1,275.513401,513.5355967599999,27.7,25.33714177,443.71318064,39.9,16.3843409,1430.32282773,44.6,116.6894469,2698.7040374000007,61.3,374.1266804,1102.32536322,69.1,121.48650990000002
D1430,1719.8417010000005,16.1,251.9220355,580.61314653,29.4,31.70381288,17.466962777,37.4,4.781482078,1549.09045172,45.4,110.8521875,2744.2396613,61.3,336.08820539999994,1535.00882339,70.1,146.3143657
D1441,531.65203015,15.9,86.33168614,490.74091793,27.7,35.82581176,526.409859842,35,21.95073088,1039.79542351,45.7,48.59597118,974.05776899,61.6,126.03192649999998,2368.71264449,69.8,77.67671453
D1448,193.22206518,16.2,40.34887784,278.02958904,28.1,25.98182732,69.994833805,35.3,6.7466148420000005,1633.1484507699995,44.9,99.38726373,2941.505018,61.6,472.27533430000005,1187.33185393,69.8,143.8229934
