,S1,S1,S1,S1,S1,S1+Triton,S1+Triton,S1+Triton,S1+Triton,S1+Triton,S2,S2,S2,S2,S2,S2 + Triton,S2 + Triton,S2 + Triton,S2 + Triton,S2 + Triton
9.0,189.57409694870057,118.30949457151371,95.1499525465168,112.77424421338715,5.18283595881008,-68.44893571871097,-70.06767020868895,-73.70126599872253,-85.58886919354472,-86.32649930346862,351.8711405522312,391.3409603421402,268.25047280942175,109.25552503113848,56.75131185831583,-3.107790748518401,-1.4254462999440152,183.28475014171246,-5.981977476187067,-10.504695833761877
9.1,249.82729194541412,162.80068415012943,91.50634892588735,119.86292752162336,3.801757616715199,-71.94255802232723,-78.09487941666234,-65.85400972511829,-81.29199582246419,-80.99445136287781,399.3006025193271,421.61994958530266,301.665370522,150.91051503916995,67.72174006171224,-1.4963041201803675,-1.4412877872069836,150.51664394721482,-5.142595869808928,-8.448315033283405
9.2,289.8303326345928,221.29476492884376,92.67542853620628,110.2676148926947,6.8674547133868575,-70.7818205740507,-75.93401496894083,-58.90471270552751,-71.62253071846939,-69.67290690196967,395.27153416642966,411.62332274364036,316.66200160353924,186.35072366644755,95.48810699916015,0.2624239649747517,-0.9226052393850807,109.88422877154646,-4.35174449923182,-6.730127965994641
9.3,292.4051806543171,267.06021058122843,99.36573519645229,101.210396573873,31.91528201152484,-67.18094966430813,-68.69556217459683,-55.570870394132086,-62.3758440837159,-58.41703366636678,364.39327539170137,383.9334397869175,321.0054766117157,214.59754708485832,138.73052757271628,1.7323047620189482,-0.22985126436090106,67.7499255886517,-3.624090926380645,-5.432232631330906
9.4,257.5806333947436,277.6585275763147,106.7476211654686,95.58131415527664,74.82550829333141,-63.54161276946893,-61.231452757863636,-54.0339991050723,-57.51822932665988,-52.77155047739941,330.87410903976917,353.6813872896775,319.1032224693289,237.91693855999688,186.74735892043807,2.6342595779893974,0.2979167193340623,31.84834218109809,-3.152819240089912,-4.5562215975964815
9.5,209.41975763469745,252.8895735844323,110.25815987529758,92.66776086576651,101.47503962428348,-60.0223872750405,-58.84927043530557,-52.44626818739304,-54.06420682070229,-49.22205448350538,300.2693871460916,326.3305069498694,311.29976365736144,254.4990930220941,224.15438609037136,2.8547427681918025,0.5375846750154109,8.601443601055676,-3.3856168181687734,-4.514451192011065
9.6,170.32147971279198,216.05390326720143,109.05675364048693,91.78566203298504,98.82807536617264,-55.6050729947373,-58.75824505183122,-50.63700829776793,-50.96989290484608,-45.30564597417376,278.0006227872213,306.8352871200432,297.8718769079192,261.2186039671813,242.97176747894756,3.148907885592452,0.8746146565842066,-3.637656403158229,-4.056903513262204,-5.159790258358238
9.7,142.75608271531954,182.9463312407007,105.24480268390984,91.7052750421658,84.71257294900963,-50.98926559237009,-58.16196227379682,-48.3707551511833,-48.263903410631066,-41.692718789253185,260.4675359078556,291.7474083303175,285.61385857928326,264.67324769984697,248.9948345388827,3.957898629122508,1.8358693215688184,-8.90308454117217,-4.375295712990779,-5.577191481058945
9.9,123.3487880909907,156.4709550355625,100.30856406259164,91.24626382254921,72.3659430702411,-46.8243184286999,-55.65759139860033,-45.69525140854908,-45.59064349802094,-38.670357622892965,245.3615169938071,278.95067730275736,274.5997192507409,268.0815548175214,247.65829837031757,5.29074556534689,3.520925142652481,-10.312257962365848,-3.741613593344952,-5.044039631345884
10.0,108.25902221113104,134.69383398142205,94.86547501209292,89.83260748279189,64.10775448916645,-43.239508841117505,-51.60917674486214,-42.76035243889062,-42.77236432196875,-36.25670117258548,231.99980101824173,267.6025187311869,264.4649917072214,270.8633411767536,247.55326039921962,6.958370128054245,5.619706959865562,-10.41213771619734,-2.0535746057900455,-3.4197723419969046
10.1,95.23633975743643,116.30921437192207,89.1131249919939,87.73495224922863,58.712829572019004,-39.98298853235934,-47.179557055770616,-39.760453426271155,-39.84165452344793,-34.229647870221484,220.1733497703059,257.11799940001816,255.0948446921029,271.997371681399,253.33583194653474,8.596129530803326,7.592095144244959,-10.34416569219259,0.2667419291566077,-1.1259557339560151
10.2,83.66986369437792,101.32082537026736,83.27101152739591,85.78344665041229,56.37554347473593,-36.81586787585961,-43.48474128386612,-36.95690721458622,-36.97419522869429,-32.251049726799984,209.6209802659008,247.4598790497309,246.4376275470016,271.6438242847333,262.98892593464734,9.847816085749207,8.949299860699686,-10.252958248834519,2.533356176564438,1.1610789181098549
10.3,73.71987570533945,88.96124463209817,77.65476741778463,84.7330815505923,56.54456319634666,-33.87325660371408,-41.26518163183138,-34.66468182817206,-34.471046521329534,-30.151212643800093,200.21254385843034,239.6512276609227,238.37363149396356,270.36541220563043,271.5512019674026,10.555657014986084,9.510263859297615,-10.326336253418503,4.179472491183811,2.8887883067558686
10.4,65.00111989203563,78.73275154554901,72.40707759098619,84.9490207857267,59.3068186298264,-31.82723674070429,-39.987255292460866,-33.050521976255325,-32.400108728397,-28.10229042427105,191.73244051953102,233.39143047445526,230.83663146245618,267.8468351915977,278.4641695850936,10.559444134883561,9.471518265257256,-10.656958927344752,4.991279569620594,3.7865030359982415
10.6,57.3255491791745,70.40151649847961,67.29985753167746,85.90693414731037,63.3311833579861,-30.523144549363323,-39.05498153744728,-31.10625594862949,-30.75116840150848,-26.385395590772124,184.08340897808654,226.22269969429092,223.6037452503368,263.68500452986245,281.53828691691143,9.658135149039273,9.141578946260696,-10.85350068381798,5.2594218711148075,4.220979293418892
10.7,50.583924041052114,62.75286983772313,62.46167476350504,86.36055897509259,67.03791219177876,-29.63136309261188,-38.6115819418614,-28.8566393555753,-29.63349043003047,-25.152418076153275,177.28714065024434,218.35980226859095,216.986936468874,258.8870861539026,281.2323838534184,8.420297105909393,8.64681320573742,-11.252137226749939,5.309176272050104,4.36327082861246
