ix,mw,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66
0,9.5,-44.11465234,44.63102518,5.15835704,-99.44882595,-45.3823751,-47.57828148,-41.78903525,-53.57453218,14.36915941,-50.64332377,-89.49033884,-82.02814996,-113.457149,36.63913225,-56.46016092,4.735861474,-80.39510841,9.271881403,-61.71122734,-106.3288274,-65.89243833,22.79037003,39.5099336,6.533378062,-69.11603641,-65.74203282,-33.16890291,-42.80780092,-52.85436515,24.44501034,25.72642002,3.913653948,-113.5557474,25.3581852,33.38182952,15.81523669,-58.38411384,-16.0457492,-58.60521777,12.31423808,-36.96946565,24.96295533,22.65009877,33.32345814,-2.50610743,103.7113877,7.03562919,-14.4185269,34.27267001,57.46841401,-14.10218465,30.35195452,43.54763572,-6.699306818,16.51836099,-7.702127665,5.469592022,2.649219413,14.79720552,-2.248234232,-29.92338727,-28.38998368,-23.62922937,-23.46723356,14.84161823,-77.64335924
1,9.6,-38.07021456,42.76879735,2.438952375,-94.34207508,-58.69457879,-38.77387231,-45.77927788,-44.82015708,16.03849853,-42.48757775,-78.07629134,-76.88706361,-105.7255014,28.9320406,-50.75305077,8.847178479,-91.58404492,6.248199913,-61.14499046,-90.14301912,-61.15542092,13.47783169,40.7265636,4.968076609,-59.08551159,-59.62117611,-29.24360365,-33.70627146,-49.30337103,29.92436227,23.92129286,2.634904459,-94.96218956,8.124148932,38.11587517,17.62481018,-52.69075959,-12.36701408,-53.72546758,13.41422556,-38.56437699,27.41393896,22.4623676,28.75517009,-0.042603866,69.48683003,5.773470881,-10.06463105,33.45434042,59.82981683,-16.46518314,27.77830165,42.53025254,-7.455962851,15.15945458,-5.387291494,9.577194224,5.685176815,12.77139076,-4.227290094,-29.09232586,-17.15133256,-16.88046141,-19.19555635,12.2196022,-72.24320219
2,9.7,-33.10523893,39.27182626,1.992376224,-88.46013497,-66.07399446,-30.98844806,-45.44674823,-36.94741156,17.08742488,-35.80169422,-68.92044361,-69.79524288,-94.51786544,20.4363044,-44.28739981,13.02505248,-90.95306271,3.962474298,-59.57168194,-76.39340769,-57.06698612,6.461695011,40.6852171,3.525942982,-48.52928478,-53.43792653,-26.39358892,-26.41097204,-43.53736347,34.260712,29.74192222,0.602794418,-78.8295368,3.957272493,40.96266952,19.0570074,-47.63893181,-9.410694924,-49.30133596,13.98244894,-38.73193938,28.98591423,21.59106967,23.4931113,2.088892912,48.86385621,2.857428508,-7.08039119,31.15459088,60.83309197,-19.50154619,24.14359528,40.00401379,-7.616610195,13.88470137,-3.548342738,13.77114257,7.290107409,10.54396023,-5.342805219,-27.58483045,-4.299956375,-9.810088494,-15.56924593,10.913678,-66.26356256
3,9.9,-29.11353629,34.7645555,1.750429899,-81.96224399,-69.03608912,-24.28496025,-44.21479509,-30.5584434,17.24123057,-30.59092958,-60.98648491,-62.37972932,-83.99752753,12.13173912,-38.06593234,17.12494426,-84.56771484,2.24037658,-57.30429027,-64.78010934,-53.3748624,2.444651863,39.10574393,2.351894962,-38.11536193,-47.45137928,-24.42970462,-21.1273174,-36.52594993,36.60117404,38.57971775,-1.999862907,-64.56983602,4.557963205,41.70315834,19.8833639,-43.45056661,-7.434631622,-45.30752789,13.84680135,-37.94442505,29.62267761,20.28626978,18.12456589,3.780911059,37.53924077,-0.874154182,-5.387050943,27.51564937,60.09540318,-22.7529652,19.92553097,36.14898167,-7.38440223,12.86516876,-2.100463862,17.75871496,7.515908032,8.271426039,-5.848291327,-25.63782704,10.26306396,-2.811312228,-12.66817395,10.32694923,-60.35574022
4,10,-25.91412921,30.00929794,1.189316499,-75.55943737,-68.75426899,-18.92298872,-42.28242361,-25.95205798,16.39709715,-26.64765888,-53.8853444,-55.79949113,-74.57487348,4.962821175,-32.72235737,20.92026637,-75.86090954,0.85541056,-54.70181089,-55.33565309,-49.8219938,0.767185265,36.00917423,1.810854015,-28.64185764,-41.46364548,-23.18469447,-17.8819005,-29.45083626,36.60686262,47.47424526,-5.065140402,-52.77268925,5.877646796,40.44936417,19.91485349,-40.02520271,-6.413173843,-41.8503825,12.96366688,-36.71037144,29.2849732,18.85443649,13.17514566,4.585531538,31.05154107,-3.885207954,-4.736735805,22.99071809,57.8656967,-25.71888109,15.51055707,32.77697644,-6.992524061,11.99414072,-1.055847585,20.98814542,6.494293407,6.088840189,-6.052146695,-23.2176155,25.94654147,3.59356951,-10.57651496,9.882496322,-54.88437499
5,10.1,-23.45214117,25.47068097,0.311820769,-69.73727939,-66.33690751,-15.00438666,-39.59479292,-23.07121503,14.73110254,-23.72695411,-47.4952815,-50.57901088,-66.40562722,-0.545705909,-28.39910026,24.14105219,-66.52176405,-0.31869339,-52.05044213,-47.67128413,-46.2834432,0.226355858,31.98342182,1.737225139,-20.65484881,-35.66861538,-22.45450039,-16.57391639,-23.25877139,34.47582497,54.47950286,-8.414355768,-43.71318437,6.398268013,37.41828063,19.21732091,-37.07351354,-6.346474854,-38.98209631,11.49851081,-35.37861894,27.78275225,17.5911008,8.805070072,4.632053676,27.48969061,-5.304801056,-4.841850124,18.18021925,54.45130912,-27.88882233,11.08388331,31.02937665,-6.700713367,10.98555139,-0.399595964,23.02842063,4.391739721,4.088849928,-6.267405247,-20.12086455,41.79471448,9.104810678,-9.392823048,9.341129773,-49.87535054
6,10.2,-21.87111697,21.09144563,-0.650945071,-64.71327771,-62.77299866,-12.30983791,-36.60415752,-21.58855273,12.59087265,-21.77040375,-41.78325025,-46.74059763,-59.54081266,-4.41758323,-24.88877826,26.47329651,-57.32304493,-1.304592981,-49.69595695,-41.3609792,-42.6164107,-0.186052612,28.01596578,1.60631837,-14.08673533,-30.49005079,-21.80928873,-17.06292845,-18.41779614,30.6917479,58.52038074,-11.69043151,-37.11141651,5.715044984,32.75299312,18.01524518,-34.4825418,-7.308861121,-36.55988804,9.436234142,-34.13717801,24.91619013,16.79117415,5.015589938,4.311368794,25.22971989,-5.524014751,-5.532071202,13.62196442,49.91934775,-28.94087363,6.757621725,30.49167786,-6.622691385,9.448136947,-0.101764793,23.77278831,1.529782585,2.31150833,-6.686077355,-16.45460523,56.93567527,13.60673954,-9.031786983,8.772002846,-45.19609364
7,10.3,-21.21079786,16.56765483,-1.482789145,-60.56739995,-58.76343131,-10.30462736,-33.86333596,-21.20165229,10.33527533,-20.79410619,-36.57056285,-44.08687285,-53.86043732,-7.015366299,-22.04162023,27.74961591,-48.59920637,-2.099414214,-47.99503712,-36.37250823,-38.59056346,-1.076856625,24.7748465,1.071779305,-8.374879197,-26.19964791,-20.63022875,-19.05081733,-14.89865627,25.84717482,59.38052583,-14.47984346,-32.42615238,4.118874953,26.59077254,16.28668994,-32.60673614,-9.316642312,-34.42001081,6.644049275,-33.16703693,20.77344621,16.58228882,1.694928906,3.82931424,22.63586811,-5.53903828,-6.718279135,9.645109605,44.26145171,-28.93161431,2.716007141,30.00887556,-6.615074724,7.135470426,-0.101587193,23.24359907,-1.603008788,0.786510835,-7.35622819,-12.73946159,70.56024257,16.9631826,-9.279353108,8.115050684,-40.82819916
8,10.4,-21.28884596,11.96609648,-2.165291526,-57.30229673,-54.67352454,-8.308380283,-31.66539872,-21.78653912,8.196676053,-20.63429284,-31.60643706,-42.41306504,-49.15353124,-8.683965123,-20.07738912,27.86931363,-40.35291999,-2.648649845,-47.09393652,-33.1694015,-34.0196261,-2.800727231,21.9040082,0.247984629,-2.783952671,-22.71278558,-18.51364658,-21.90447162,-12.42722957,20.5612221,57.66860168,-16.49986786,-29.2612237,2.280617005,19.42506857,13.85412137,-32.05486699,-12.09819531,-32.62352554,3.616723613,-32.7028973,15.7225563,16.13088639,-1.185079672,3.080108851,18.936483,-6.056885727,-8.140609829,6.306873482,37.52889102,-28.290181,-0.886963868,28.67403669,-6.467180044,4.143351964,-0.303173641,21.33880915,-4.517422547,-0.461765325,-8.163044983,-9.455634326,81.81352352,18.95005962,-9.938148267,7.358796399,-36.98947445
9,10.6,-21.71652561,7.862154385,-2.871625758,-54.77524744,-50.69128974,-5.934751351,-29.98368259,-23.15389853,6.243910071,-20.92843789,-26.81139906,-41.57576693,-45.33319778,-9.601136574,-19.39023162,26.83316395,-32.32734571,-2.994199564,-46.87749457,-32.34273882,-29.13465354,-5.562516931,18.3036857,-0.471479027,3.433725948,-19.59245718,-15.85468329,-24.80325644,-11.0148961,15.41506316,54.51797125,-17.77661392,-27.58662468,0.417654166,12.48113827,10.730732,-32.77369084,-14.97504181,-31.29158188,0.570382995,-32.76304671,10.29241593,14.00121063,-3.462719503,1.666628076,14.02454133,-7.297853106,-9.434095719,3.533069891,30.08041056,-27.44428241,-3.858010582,25.7003031,-6.081672983,0.936336382,-0.699116866,18.00586443,-6.899800714,-1.438268535,-8.893993766,-7.00318727,89.72065085,19.22710541,-10.83235989,6.396214725,-33.96216575
10,10.7,-22.01975856,4.840252056,-3.798210805,-52.72318682,-46.98339108,-3.835707572,-28.63301749,-25.25816894,4.58248648,-21.17237851,-22.63423225,-41.37748672,-42.39057131,-10.01980549,-19.99196326,24.82419921,-24.66889718,-3.12610894,-47.03244132,-33.90685366,-25.04330119,-8.603877698,13.28595049,-0.634320728,10.70326899,-16.23603728,-14.11548959,-27.15106841,-11.2378055,10.89625714,50.66589215,-18.46450464,-27.67452396,-1.525954966,6.972945861,7.532053005,-33.91479378,-17.27821201,-30.4389846,-2.07056137,-33.15848053,5.320708756,10.14483962,-5.026562431,-0.036960286,8.138370025,-9.068209418,-10.43018928,1.132741195,22.62184582,-26.71479659,-5.966890625,19.85272402,-5.521493599,-1.883617114,-1.326287315,13.65121677,-8.626929864,-2.09958657,-9.680612344,-5.623548295,93.29096089,17.67806094,-11.7960375,5.145920065,-31.84810633
