Sample,Molecular Weight,Fluorescence
S2 + Triton,10,6.958370128054244
S2 + Triton,10.1,8.5961295308033261
S2 + Triton,10.199999999999999,9.8478160857492067
S2 + Triton,10.300000000000001,10.555657014986084
S2 + Triton,10.4,10.559444134883561
S2 + Triton,10.6,9.6581351490392748
S2 + Triton,10.699999999999999,8.420297105909393
S2 + Triton,10.800000000000001,7.176123982220453
S2 + Triton,10.9,6.0293476572698852
S2 + Triton,11.1,5.0605513830493889
S2 + Triton,11.199999999999999,4.4176168145695547
S2 + Triton,11.300000000000001,4.2489962208326286
S2 + Triton,11.4,4.7465094212841086
S2 + Triton,11.6,6.5083757929021191
S2 + Triton,11.699999999999999,11.052501169352206
S2 + Triton,11.800000000000001,20.646943405847381
S2 + Triton,12,36.381990655577013
S2 + Triton,12.1,52.876280267428541
S2 + Triton,12.199999999999999,63.637628312342031
S2 + Triton,12.300000000000001,65.260849412910332
S2 + Triton,12.5,59.05006143858003
S2 + Triton,12.6,49.272128916866201
S2 + Triton,12.800000000000001,39.964453808781506
S2 + Triton,12.9,33.016697305959738
S2 + Triton,13,28.55758634775173
S2 + Triton,13.199999999999999,26.379166867032541
S2 + Triton,13.300000000000001,26.096155591785692
S2 + Triton,13.4,27.172360420972417
S2 + Triton,13.6,28.671283081013094
S2 + Triton,13.699999999999999,29.802426817792878
S2 + Triton,13.9,29.821373803316536
S2 + Triton,14,28.468899694609227
S2 + Triton,14.1,26.124139572053434
S2 + Triton,14.300000000000001,23.721124582090379
S2 + Triton,14.4,22.444411195348138
S2 + Triton,14.6,23.36249321009193
S2 + Triton,14.699999999999999,27.199673132358157
S2 + Triton,14.9,34.110526998101449
S2 + Triton,15,43.65868859606276
S2 + Triton,15.199999999999999,55.123222881527035
S2 + Triton,15.300000000000001,68.883777621528253
S2 + Triton,15.5,85.53102355578865
S2 + Triton,15.6,105.50386913798178
S2 + Triton,15.800000000000001,129.87899748236637
S2 + Triton,15.9,160.43252332633762
S2 + Triton,16.100000000000001,197.69390291512238
S2 + Triton,16.199999999999999,237.50492772146117
S2 + Triton,16.399999999999999,268.67111482921229
S2 + Triton,16.600000000000001,275.73849363373398
S2 + Triton,16.699999999999999,246.79633234391287
S2 + Triton,16.899999999999999,195.3821518998808
S2 + Triton,17,139.90136553553691
S2 + Triton,17.199999999999999,94.717732385757628
S2 + Triton,17.399999999999999,64.954589050545621
S2 + Triton,17.5,48.445402178132255
S2 + Triton,17.699999999999999,40.251123843333666
S2 + Triton,17.800000000000001,36.111599558913831
S2 + Triton,18,33.562301184633426
S2 + Triton,18.199999999999999,31.599383210287129
S2 + Triton,18.300000000000001,30.088940304050137
S2 + Triton,18.5,29.107162674850276
S2 + Triton,18.699999999999999,28.337653195367484
S2 + Triton,18.800000000000001,27.547446493099685
S2 + Triton,19,26.990502223469392
S2 + Triton,19.199999999999999,27.243368825407359
S2 + Triton,19.300000000000001,28.43617212603495
S2 + Triton,19.5,30.224958000798527
S2 + Triton,19.699999999999999,32.105194797617756
S2 + Triton,19.899999999999999,33.674742947204031
S2 + Triton,20,34.910027564715861
S2 + Triton,20.199999999999999,36.11370635839949
S2 + Triton,20.399999999999999,36.846001383836985
S2 + Triton,20.600000000000001,36.200850101283173
S2 + Triton,20.699999999999999,33.963816348064341
S2 + Triton,20.899999999999999,30.719841454342543
S2 + Triton,21.100000000000001,27.477041877947194
S2 + Triton,21.300000000000001,24.876795796771177
S2 + Triton,21.5,23.101806269760598
S2 + Triton,21.600000000000001,22.032400219622119
S2 + Triton,21.800000000000001,21.26184151354262
S2 + Triton,22,20.20911985352318
S2 + Triton,22.199999999999999,18.668089418091999
S2 + Triton,22.399999999999999,17.175368243896731
S2 + Triton,22.600000000000001,17.077457741196785
S2 + Triton,22.800000000000001,18.56760596964617
S2 + Triton,22.899999999999999,20.356800461240539
S2 + Triton,23.100000000000001,21.089016989236441
S2 + Triton,23.300000000000001,20.670283999854369
S2 + Triton,23.5,20.047739192125395
S2 + Triton,23.699999999999999,19.766228098974253
S2 + Triton,23.899999999999999,19.773552035814216
S2 + Triton,24.100000000000001,20.190126779339778
S2 + Triton,24.300000000000001,21.325003367840978
S2 + Triton,24.5,22.698516827177247
S2 + Triton,24.699999999999999,23.279936590430562
S2 + Triton,24.899999999999999,22.447276612796742
S2 + Triton,25.100000000000001,20.761736203201309
S2 + Triton,25.300000000000001,19.118773642051654
S2 + Triton,25.5,17.670834724892849
S2 + Triton,25.699999999999999,16.772945874107446
S2 + Triton,25.899999999999999,16.936551752950582
S2 + Triton,26.100000000000001,18.361744704447624
S2 + Triton,26.300000000000001,20.867003165813617
S2 + Triton,26.5,24.07253343442483
S2 + Triton,26.699999999999999,27.560448645223275
S2 + Triton,26.899999999999999,31.083628675877733
S2 + Triton,27.100000000000001,34.590353951045238
S2 + Triton,27.300000000000001,37.882531550888608
S2 + Triton,27.5,40.559111855137317
S2 + Triton,27.699999999999999,42.513408918928228
S2 + Triton,27.899999999999999,43.973917166132487
S2 + Triton,28.100000000000001,45.296482697099691
S2 + Triton,28.300000000000001,46.507225318476827
S2 + Triton,28.5,47.468078945963711
S2 + Triton,28.800000000000001,48.369206401970743
S2 + Triton,29,49.499656386343553
S2 + Triton,29.199999999999999,50.68911829756874
S2 + Triton,29.399999999999999,50.886333800635789
S2 + Triton,29.600000000000001,49.230780826025104
S2 + Triton,29.800000000000001,45.747747051149318
S2 + Triton,30.100000000000001,41.028612585583126
S2 + Triton,30.300000000000001,35.706227951165303
S2 + Triton,30.5,30.415522526342276
S2 + Triton,30.699999999999999,25.836397115829435
S2 + Triton,30.899999999999999,22.55328048071425
S2 + Triton,31.199999999999999,20.76799489868062
S2 + Triton,31.399999999999999,20.229819772231274
S2 + Triton,31.600000000000001,20.329433989648809
S2 + Triton,31.800000000000001,20.515173425795485
S2 + Triton,32,20.715048542528294
S2 + Triton,32.299999999999997,20.907364966853546
S2 + Triton,32.5,21.413117513118909
S2 + Triton,32.700000000000003,22.448404669518741
S2 + Triton,33,23.959143488687058
S2 + Triton,33.200000000000003,25.669732383414807
S2 + Triton,33.399999999999999,27.147086167869723
S2 + Triton,33.600000000000001,27.895022906525334
S2 + Triton,33.899999999999999,27.543726356232071
S2 + Triton,34.100000000000001,26.064908904360497
S2 + Triton,34.299999999999997,24.404264054907966
S2 + Triton,34.600000000000001,23.231109514174815
S2 + Triton,34.799999999999997,22.874596884422019
S2 + Triton,35,23.343360942401734
S2 + Triton,35.299999999999997,24.514320182159526
S2 + Triton,35.5,26.163512922309685
S2 + Triton,35.799999999999997,27.882136318922413
S2 + Triton,36,29.171268863887484
S2 + Triton,36.200000000000003,29.917801886293343
S2 + Triton,36.5,30.455304433345674
